13208 9 3 2011 17 1139 186 6 203 310 1132 7027 106 493 636 11 466 2 248 11 2268 3100 2 5687 6 576 7 1329 1497 21 721 8 496 10 10198 9535 4 	5 4 0 1 7 9 9 9 8 0 3 1 11 0 1 4 5 2 12 4 5 5 2 7 9 8 0 3 1 4 0 3 1 0 3 1 2 
2666 5 3 5218 5333 1937 10 4937 2365 6 7 232 1440 267 35 734 6 2013 7 17891 9 3430 101 3 250 127 4 	2 4 0 1 0 1 0 3 1 4 0 3 3 1 7 9 9 8 0 1 4 5 4 0 3 1 2 
57 238 19970 2150 400 11 3430 35 63 7067 23 3 6874 10 1200 6 2341 110 69 267 2123 9 59 5308 215 1888 92 962 4 	2 5 6 0 1 4 5 7 9 8 4 0 1 0 1 7 8 0 3 3 1 4 0 3 3 1 0 1 2 
231 35 229 3 542 5 3 114 219 1124 6 180 967 166 6 1023 19 21 50 329 217 19 435 6 3270 3 2011 2 1299 8 394 364 54 238 135 4 	5 7 8 0 1 4 0 1 7 9 9 8 0 1 4 0 1 4 0 3 3 3 1 7 8 0 1 2 5 2 0 3 3 1 6 2 
15 14 2022 11 3430 5 7 999 493 1254 31 288 1734 20 3 123 1327 2 16 18 13132 6386 2 714 963 1062 24 4558 1546 959 4 	2 0 1 4 5 4 0 3 3 1 6 16 17 4 0 3 1 2 2 6 0 1 2 0 3 1 4 0 3 1 2 
15 309 121 17 310 999 493 325 2 121 81 30 34 4666 450 5 830 2 16 785 15212 8226 2 963 1062 11 5321 5324 2 7 193 5 5321 289 961 4 	2 11 5 6 0 3 3 1 2 5 7 8 0 3 1 4 5 2 2 6 0 1 2 0 1 4 0 1 2 0 1 4 0 3 1 2 
13627 11 3 493 636 772 1139 2 60 270 1299 433 3 973 6 576 7 288 4218 1497 21 3 642 275 55 79 13 7947 55 76 1425 9 3 329 798 182 11 496 4 	5 4 0 3 1 6 10 2 2 0 1 6 0 1 7 8 0 3 3 1 4 2 2 2 2 2 12 2 2 2 5 4 0 3 1 6 4 5 2 
14 496 1425 8 3 642 2865 55 2565 3072 9 721 31 3101 95 23 3 642 3472 55 1425 5 996 209 4 	0 3 1 2 0 3 3 3 1 6 4 5 7 8 10 4 0 3 3 3 1 4 0 1 2 
15121 14043 2 719 1062 24 12843 2304 91 108 2 18 121 17 140 1217 12 1141 10 879 206 17 21085 917 6 970 1843 4 	0 1 2 0 1 4 0 3 3 1 2 6 5 6 0 1 11 5 0 3 1 7 8 5 7 8 5 2 
307 3 259 126 2 39 713 1844 10333 47 3 2421 11 1496 2 752 535 256 490 8 331 1432 7202 4 	4 0 3 1 2 5 6 13 14 4 0 1 4 5 2 4 0 3 3 3 3 3 1 2 
115 5933 3 329 798 1425 38 2795 6 95 642 1906 55 9 466 4 	5 6 0 3 3 1 7 8 4 0 3 3 1 4 5 2 
691 2 29 6386 18 39 969 12 7 1766 9 4283 1649 20714 23 206 81 918 6 7 1132 443 9 1496 4 	10 2 0 1 6 5 6 11 0 1 4 0 3 1 4 5 7 8 4 0 3 1 4 5 2 
13182 28 24 324 70 2817 9 1843 82 496 10 10930 353 2 3 1425 81 2795 6 26 376 26 642 2469 55 4 	4 4 16 17 0 1 4 5 4 5 0 3 1 2 0 1 7 8 4 0 3 3 3 3 1 2 
29 8226 2 64 62 2564 7 642 2469 55 329 798 2565 2 4381 12 167 106 3 493 636 31 3247 11 3430 2 3 1197 384 33 1631 130 88 119 38 302 6 492 395 1065 5 3 5030 178 5464 1451 4 	0 1 2 5 10 6 0 3 3 3 3 3 1 2 6 11 21 22 0 3 1 6 12 4 5 2 0 1 7 9 8 5 11 5 7 9 9 8 0 1 4 0 1 4 6 5 2 
4000 2 39 785 2 15 1409 71 38 302 6 344 87 3 493 636 401 7 828 504 16 9 3 2011 4 	10 2 5 6 2 2 0 1 7 9 9 8 4 0 3 1 4 0 3 1 2 4 0 1 2 
793 2 1654 1065 20 3 467 713 1844 9382 4 	10 2 0 1 4 0 1 6 13 14 2 
51 59 5308 215 1888 2 29 1937 3116 12 7 395 1666 90 30 186 26 3 783 5 3 92 377 9 131 166 142 52 187 1223 1006 4 	4 0 3 3 1 2 0 1 6 11 0 3 1 7 9 8 11 0 1 4 0 3 1 4 0 1 0 3 1 6 5 2 
963 967 166 31 24 50 1735 435 9 1094 78 4 	0 3 1 6 4 0 3 1 4 0 1 2 
57 490 9714 973 1322 234 98 33 2626 12 3 963 467 17 1885 12 860 4 	2 0 3 1 6 5 7 9 8 11 0 3 1 7 8 16 17 2 
14 636 576 12 651 99 4391 19 9 3 326 97 21 3 314 97 8 27 53 3864 19 21 7 42 218 4 	0 1 6 2 5 6 0 1 4 0 3 1 4 0 3 1 2 6 10 0 1 4 0 1 10 2 
231 2747 28 7 1676 19 377 9 3 314 21 3 117 97 8 7 4422 19 180 21 3 314 97 5 209 4 	5 6 4 0 3 3 1 4 0 1 4 0 3 1 2 0 3 3 1 4 0 3 1 4 5 2 
29 6386 18 3 973 576 3 467 15 17 171 1261 338 2 16 60 2282 12 130 5 3 651 837 20 589 1100 61 490 1432 243 884 1561 5 49 3709 5968 4 	0 1 6 0 1 6 0 1 2 6 10 13 14 2 2 2 5 11 5 4 0 1 6 4 5 18 19 0 1 7 8 5 4 0 3 1 2 
8272 2 3 6874 35 181 25 762 12 39 17 1758 6 180 131 166 631 106 1748 6 198 3294 12 7 1329 1666 185 203 739 8 12 3430 185 33 353 395 4 	10 2 0 1 7 8 5 12 11 5 7 9 9 8 0 1 10 11 12 7 9 8 11 0 3 1 7 8 5 2 2 5 7 9 8 10 2 
962 2 39 7500 59 2088 12 3 114 15 90 73 1291 3 1748 20166 5 1440 267 6 30 7736 23 364 160 2643 4 16 	5 2 5 6 0 1 11 0 1 2 7 9 8 0 3 1 4 0 1 7 9 8 4 0 3 1 2 2 
994 3595 121 17 376 584 3430 232 24 3 1379 66 61 29 1937 10 1388 12 166 38 30 2134 190 106 1748 4 	5 6 5 6 5 6 5 12 4 0 1 12 4 0 1 0 1 11 5 7 9 8 12 11 12 2 
156 2 43 10995 2 110 395 443 9 3 114 10 3768 81 6055 146 52 1388 2455 9907 4 	2 2 5 6 2 0 3 1 4 0 1 0 1 7 9 8 0 1 6 12 2 
2938 27 392 2141 70 1596 5 7 1741 5 1718 9 29 1937 10 1388 234 4 	5 7 9 8 0 1 4 0 1 4 5 4 0 1 0 1 5 2 
51 719 96 25 375 6 13 11122 8 11566 1013 21 13 11125 8 11565 1013 313 962 4 	4 0 1 5 6 4 0 1 2 0 1 4 0 1 2 0 1 0 1 2 
3513 2034 12 106 3 2011 4157 130 678 11561 1013 2 3 114 38 30 1124 6 180 166 6 1023 19 2 198 6 2245 110 395 353 8 3294 12 3 2527 5 1440 267 713 954 4 	5 6 11 11 0 1 6 5 4 0 1 2 0 1 7 9 9 9 8 5 4 0 1 2 7 8 6 0 3 1 2 6 11 0 1 4 0 1 6 12 2 
234 10 1620 6251 	5 0 3 1 
14 415 529 500 9 2264 96 26 971 47 3672 9088 4 	0 1 6 5 4 0 1 11 5 4 5 6 2 
